79.경기도의회, 전국 최초로 인공지능 기본조례 제정 추진
80.충남도, 재난 대응 시스템 '드론·인공지능' 접목
81.글로벌 CEO, 인공지능 등 신기술 경쟁 속 고위험·고수익 경영 추구
82.인천시, 인공지능(AI) 중심 디지털 전환 시대 준비
83.에듀템, 광주광역시와 인공지능 산업생태계 조성 위한 업무협약
84.프레시지, 밀키트 넘어 AI 기반 푸드테크 기업 도약
85.더화이트커뮤니케이션, 엘솔루와 인공지능 컨택센터 솔루션 공동개발 위한 MO...
86.AI 서울회의 참석한 유영상 SKT 사장 "AI 균형 발전, 국제사회 함께해야"
87.[FT솔로몬] 인공지능 시대의 저작권 문제는 어떻게 될까
88.“인공지능(AI)도 전기는 쓰겠지”…美 관련주 주가↑
89.커팅엣지, 어비와 CGV에서 인공지능 영화 컨퍼런스(UAF) 진행
90.질병 없는 세상을 향해… 인공지능 손잡고 신약 개발
91.[경제인사이드] 'AI' 전면 배치한 이통 3사… AI 신사업으로 활로 개척
92.춘해보건대 원격교육지원센터, 인공지능 기반 '이러닝 역량강화 워크숍' 운영
93.한국전파진흥협회-현대로템, 방위산업 인공지능 전문인력 양성한다…‘K-방산...
94.“인공지능 연수 신청했을 뿐인데”…교사 1만명 개인정보 유출됐다
95."인공지능(AI), 사회적 고립 해소해준다"
96.전석훈 의원, 전국 최초로 인공지능 기존조례 추진
97.'서울 선언'으로 세계 AI 거버넌스 중심에 선 대한민국(종합)
98.오픈AI·구글·삼성 등 '서울 기업 서약'…"책임 있는 AI 만들자"
99.EU "인종·종교 분류 AI 범죄 프로파일링 금지"…'AI 안전' 글로벌 화두
100.과학기술정보통신부, '2024년 인공지능·디지털 기반 미디어 활성화' 사업공고
101.CEO 자리도 넘보는 인공지능.. 'AI 보스' 시대 오나
102.인공지능 훈풍 엔비디아, 국내 투자자 최다 보유 해외주 등극
103.인공지능 덕분에 채용되거나 쫓겨나거나...美 노동시장 강타한 AI
104.“인공지능(AI) 인프라 깔린 광주, 이제는 사람과 교통”
105.대학축제에 설치된 인공지능 포토부스
106.[스토리포토]'서울AI허브' 개관…인공지능 산학연 협업 핵심 거점으로 키운다
107.‘서울 AI 허브’, 세계가 주목하는 인공지능 산·학·연 집적 생태계로 키운...
108.신한은행, 대출 연기 안내 등 인공지능 고객서비스 확대
109.'AI 혁신거점' 모인 스타트업들…"인공지능 전환(AX) 시대 선도"
110.인공지능을 ‘컴퓨터 범죄’ 코치처럼…AI가 만든 ‘랜섬웨어’ 첫 적발
111.신한은행, 대출 연기 안내 등 인공지능 고객서비스 확대
112.'AI 혁신거점' 모인 스타트업들…"인공지능 전환(AX) 시대 선도"
113.인공지능을 ‘컴퓨터 범죄’ 코치처럼…AI가 만든 ‘랜섬웨어’ 첫 적발
114.상주시, 인공지능(AI) 활용 산불 감시 시스템 구축 용역 보고회
115.대학축제에서 즐기는 인공지능 포토부스
116.강기정 시장 '월요대화' 열어 인공지능(AI) 사업 정책 방향 논의
117.카카오모빌리티, 사우디 데이터인공지능청과 기술 협력 논의
118.전남도, 인공지능 기반 첨단농산업 구축 방안 모색
119."AI에 진심인 LG그룹...전문 국내 임원 최다" SK·삼성 뒤이어
120.日, AI 활용 바이러스 제작 첫 체포…“AI 범죄 활용 현실화”
121.日, AI 활용 바이러스 제작 첫 체포…“AI 범죄 활용 현실화”
122.코스콤, 중소 금융사 맞춤형 인공지능 컨택센터 서비스 출시
123.㈜고스디자인, 인공지능(AI) 연구소 설립
124.KISTI, '인공지능 윤리'...이슈브리프 발간
125.과기정통부, 데이터 중심 인공지능 가속화 밋업 개최
126.강기정 "장점 살리고 부족한점 보완…광주, 인공지능 대표도시로"
127.[현장] "행동형 AI 만들면 한국이 인공지능 시대 리드할 수 있다"
128."산불도 인공지능으로 잡아낸다"…경남도, ICT 플랫폼 가동
129.인천시, 인공지능(AI) 중심 디지털 전환 시대 준비
130.울산정보산업진흥원, 2024 인공지능·ChatGPT·IoT·보안 2차 교육생 모집…6...
131.인공지능이 심부전 위험 조기 예측한다!... 대웅제약, AI 기반 웨어러블 심전...
132.강 시장 “인공지능 인프라 깔린 광주, 이제는 사람과 교통”
133.강진군, 첨단인공지능 활용해 외국인 민원 해결
134.전남도 인공지능 첨단농산업 융복합지구 조성 '머리맞대'
135.'인공지능(AI) 실증도시' 광주에 올해만 32개 업체 모여들어
136.과기정통부, AI반도체 등 혁신도전형 R&D 신규 과제 지원
137.고학수 개보위원장, 유엔 회의 참석 "국제 AI 규율 주도"
138.신한은행, AI 컨택센터 ‘음성봇 서비스’ 확대…정기예금 만기 재예치도
139.노벨 경제학상 수상자, 고려대서 '인공지능' 29일 강연
140.광주 동구, 인공지능 모의 면접기 설치…6월부터 운영
141.신한은행, AI 컨택센터 ‘음성봇 서비스’ 확대…정기예금 만기 재예치도
142.노벨 경제학상 수상자, 고려대서 '인공지능' 29일 강연
143.광주 동구, 인공지능 모의 면접기 설치…6월부터 운영
144.지극히 인간적인 세상 꿈꾸는 기본소득당의 '인공지능'… "지역에서 기반 만들...
145.21대 국회 폐원.. 인공지능·해상풍력 법안 자동폐기
146.EU 인공지능법에서 규정한 AI 정의
147.사우디 데이터인공지능청장, 카카오모빌리티도 찾았다…협력 타진
148.인천시 ‘인공지능(AI) 중심’ 디지털 전환 시대 준비 끝
149.'올해만 32개 유망 인공지능(AI) 기업 광주행'...광주광역시, 10개사와 업무협...
150."아무리 비싸도 50만원이면 돼요"…SNS 광고 모델의 실체
151.인공지능 시대에서의 청렴
152.인공지능 韓美 공동연구 수행 글로벌 AI 프론티어랩 만든다
153.[보험 DX 드라이브] KB손해보험, 인공지능·건강관리로 사용자경험 차별화
154.[일상외전] 인공지능과 암치료
155.초거대·생성형 인공지능 시대에 ‘데이터’란?
156.유니티 "올해 '유 데이 서울' 키워드는 인공지능"
157.중앙대, '제7회 인공지능인문학 국제학술대회' 성료
158.인공지능과 우리 미래
159.‘올해만 32개’ 유망 인공지능(AI) 기업 광주행
160.인천시, ‘인공지능 중심’ 디지털 전환 시대 준비
161.인천시, ‘인공지능 중심’ 디지털 전환 시대 준비
162.고스디자인, 인공지능(AI) 연구소 설립으로 디자인 혁신 가속
163.현직 초교 교사가 SSCI급에 인공지능(AI) 활용 논문 게재 '주목'
164."AI 전문 임원으로 미래 구상" 30대 그룹 인공지능 리더십 강화
165.중앙대, '인공지능인문학 국제학술대회' 성료... '포용적 AI 리터러시를 위한...
166.'AI수로부인' 심은록 감독, '인공지능 시대의 디지털 유산' 심포지엄에서 강연
167.강기정 시장, 38번째 월요대화 열어 인공지능(AI) 사업 정책 방향 논의
168.사우디 데이터인공지능청장, 카카오모빌리티 방문
169.대동, 인공지능 로봇 전문 회사 ‘대동에이아이랩’ 설립
170.광주형 인공지능(AI) 비즈니스 190~199번째 업무협약
171.광주형 인공지능(AI) 비즈니스 190~199번째 업무협약
172.과기정통부, 미국 국제 인공지능 프론티어랩 구축 추진
173.'인공지능 눈독' 정유업계, 생산 효율성 극대화
174.김천시립도서관, 인문학 관점에서 인공지능 이해하기
175.경기도의회, 전국 최초로 인공지능 기본조례 제정 추진
176.충남도, 재난 대응 시스템 '드론·인공지능' 접목
177.사우디 데이터인공지능청장, 카카오모빌리티 방문...모빌리티 기술 협력 논의
178.머스크 인공지능 xAI 거대한 돌풍되나… 8조 원 투자 유치
179.전남도, 인공지능(AI) 첨단농산업지구 조성 연구 용역
180.글로벌 CEO, 인공지능 등 신기술 경쟁 속 고위험·고수익 경영 추구
181.인천시, 인공지능(AI) 중심 디지털 전환 시대 준비
182.에듀템, 광주광역시와 인공지능 산업생태계 조성 위한 업무협약
183.과기부, 미국 국제 인공지능 선도연구실(프론티어랩) 구축 추진
184.광주시, 광주형 인공지능(AI) 비즈니스 190~199번째 업무협약
185.프레시지, 밀키트 넘어 AI 기반 푸드테크 기업 도약
186.더화이트커뮤니케이션, 엘솔루와 인공지능 컨택센터 솔루션 공동개발 위한 MO...
187.AI 서울회의 참석한 유영상 SKT 사장 "AI 균형 발전, 국제사회 함께해야"
188.[FT솔로몬] 인공지능 시대의 저작권 문제는 어떻게 될까
189.카카오모빌리티 찾은 사우디 데이터인공지능청장...기술 협력 논의
190.“인공지능(AI)도 전기는 쓰겠지”…美 관련주 주가↑
191.커팅엣지, 어비와 CGV에서 인공지능 영화 컨퍼런스(UAF) 진행
192.질병 없는 세상을 향해… 인공지능 손잡고 신약 개발
193.[경제인사이드] 'AI' 전면 배치한 이통 3사… AI 신사업으로 활로 개척
194.춘해보건대 원격교육지원센터, 인공지능 기반 '이러닝 역량강화 워크숍' 운영
195.오픈AI, 인공지능 안전과 윤리성 진단 위해 '안전보안위원회' 발족
196.광주시, 인공지능(AI) 생태계 구축…올 해만 32개 인공지능 기업 광주행
197.한국전파진흥협회-현대로템, 방위산업 인공지능 전문인력 양성한다…‘K-방산...
198.“인공지능 연수 신청했을 뿐인데”…교사 1만명 개인정보 유출됐다
199."인공지능(AI), 사회적 고립 해소해준다"
200.전석훈 의원, 전국 최초로 인공지능 기존조례 추진
